reference_id	former_id	id_bp	vfid	vsiid	ssid	feature_names	gene_host	recname_full	subname_full	Source	Literature Name	User Designated Name	Gene Name(s)	Virulence Factor Type	Short Description	Long Description	Update Date	Status	Protein Sequences	Nucleotide Sequences	id_bp.1	id_maximal_coverage_depth	id_coverage_breadth	id_coverage_breadth_to_id_bp	id_mapped_bp	id_total_relative_abundance	id_mapped_relative_abundance	sample_total_reads	sample_mapped_reads	sample_total_bp	sample_mapped_bp	sample_average_total_reads_bp	sample_average_mapped_reads_bp	sample_mapped_reads_to_total_reads	id_mapped_reads	id_unmapped_reads	id_mapped_reads_per_million_sample_total_reads	id_mapped_reads_per_million_sample_mapped_reads	id_mapped_reads_per_kbp_per_million_sample_total_reads	id_mapped_reads_per_kbp_per_million_sample_mapped_reads
ID07735	7560|vfid|9007|vsiid|10925|ssid|ferrichrome_transport_permease_[Staphylococcus_aureus_subsp._aureus_Mu50]	1017	7560	9007	10925	ferrichrome_transport_permease_[Staphylococcus_aureus_subsp._aureus_Mu50]	Staphylococcus_aureus_subsp._aureus_Mu50			"<a href  = ""http://www.tvfac.lanl.gov/"" target=""_blank"">TVFAC</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=15923639"" target=""_blank"">15923639</a>"	NP_371173.1	NP_371173|SASa0649	virulence protein	ferrichrome transport permease [Staphylococcus aureus subsp. aureus Mu50]		Nov 27 2007 10:39AM	virulence factor	Yes	Yes	1017	1011	1016	0.9990166159999982	795108	330690.63263794326	7285676.581454782	9694346	447150	2364194906	107308786	0.0041004851061124	0.000189134152546	0.0461248236858886	3294	154	339.78568538816336	7366.655484736665	334.1058853374271	7243.515717538511
ID11646	2704|vfid|3148|vsiid|3702|ssid|capsular_polysaccharide_synthesis_enzyme_Cap8B_[Staphylococcus_aureus_subsp._aureus_MW2]	687	2704	3148	3702	capsular_polysaccharide_synthesis_enzyme_Cap8B_[Staphylococcus_aureus_subsp._aureus_MW2]	Staphylococcus_aureus_subsp._aureus_MW2			"<a href  = ""http://www.mgc.ac.cn/VFs/main.htm"" target=""_blank"">VFDB</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=21281854"" target=""_blank"">21281854</a>"	NP_644940.1	NP_644940|capsular polysaccharide synthesis enzyme Cap8B|NP_644940	virulence protein	capsular polysaccharide synthesis enzyme Cap8B [Staphylococcus aureus subsp. aureus MW2]		Jan 28 2010 02:32PM	virulence factor	Yes	Yes	687	1122	686	0.9985429900000036	532647	327943.834976186	7225159.961317645	9694346	447150	2364194906	107308786	0.0041004851061124	0.000189134152546	0.0461248236858886	2208	202	227.76162517822243	4937.9402884937945	331.5307498955203	7187.686009452393
ID10611	7532|vfid|8951|vsiid|10869|ssid|hypothetical_protein_MW0095_[Staphylococcus_aureus_subsp._aureus_MW2]	780	7532	8951	10869	hypothetical_protein_MW0095_[Staphylococcus_aureus_subsp._aureus_MW2]	Staphylococcus_aureus_subsp._aureus_MW2			"<a href  = ""http://www.tvfac.lanl.gov/"" target=""_blank"">TVFAC</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=21281824"" target=""_blank"">21281824</a>"	NP_644910.1	NP_644910|SASd0095	virulence protein	hypothetical protein MW0095 [Staphylococcus aureus subsp. aureus MW2]		Nov 27 2007 10:38AM	virulence factor	Yes	Yes	780	1334	779	0.998717070000002	602924	326952.52206904435	7203319.653429749	9694346	447150	2364194906	107308786	0.0041004851061124	0.000189134152546	0.0461248236858886	2511	135	259.01695689425566	5615.565246561557	332.0730216593022	7199.442623796867
ID01788	5777|vfid|30520|vsiid|51340|ssid|SubName:_Full=Protein-export_membrane_protein_SecDF;_	2280	5777	30520	51340	SubName:_Full=Protein-export_membrane_protein_SecDF;_			Protein-export_membrane_protein_SecDF	"<a href  = ""http://www.geneontology.org/"" target=""_blank"">GO</a><BR><a href  = ""http://www.jenner.ac.uk/BacBix3/PPprints.htm"" target=""_blank"">PRINTS</a><BR>"	"<a href=""http://www.uniprot.org/uniprot/Q99TL6"" target=""_blank"">Q99TL6</a>"	Q99TL6	Protein-export membrane protein SecDF. |SubName: Full=Protein-export membrane protein SecDF; |Name=secF; OrderedLocusNames=SAV1637;	virulence protein	SubName: Full=Protein-export membrane protein SecDF; 		Feb 4 2012 06:11AM	virulence factor	Yes	Yes	2280	955	2279	0.9995615560000006	1747865	324257.29968151404	7143939.324225985	9694346	447150	2364194906	107308786	0.0041004851061124	0.000189134152546	0.0461248236858886	7159	131	738.4716823600065	16010.287375601029	323.8910887543888	7022.055866491679
ID05200	12475|vfid|31231|vsiid|52051|ssid|RecName:_Full=Preprotein_translocase_subunit_secY;_	1293	12475	31231	52051	RecName:_Full=Preprotein_translocase_subunit_secY;_		Preprotein_translocase_subunit_secY		"<a href  = ""http://www.jenner.ac.uk/BacBix3/PPprints.htm"" target=""_blank"">PRINTS</a><BR><a href  = ""http://www.geneontology.org/"" target=""_blank"">GO</a><BR>"	"<a href=""http://www.uniprot.org/uniprot/SECY_STAAU"" target=""_blank"">O08387</a>"	O08387	RecName: Full=Preprotein translocase subunit secY; |Name=secY; OrderedLocusNames=SAOUHSC_02491;	virulence protein	RecName: Full=Preprotein translocase subunit secY; 		Oct 3 2010 04:10AM	virulence factor	Yes	Yes	1293	1002	1290	0.9976797400000028	980361	320703.88722837454	7065651.609549674	9694346	447150	2364194906	107308786	0.0041004851061124	0.000189134152546	0.0461248236858886	4036	158	416.3251445739609	9026.053896902606	321.9838705135042	6980.706803482293
ID04978	7712|vfid|49121|vsiid|69958|ssid|hypothetical_protein_MW0262_[Staphylococcus_aureus_subsp._aureus_MW2]	1335	7712	49121	69958	hypothetical_protein_MW0262_[Staphylococcus_aureus_subsp._aureus_MW2]	Staphylococcus_aureus_subsp._aureus_MW2			"<a href  = ""http://www.mgc.ac.cn/VFs/main.htm"" target=""_blank"">VFDB</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=21281991"" target=""_blank"">21281991</a>"	NP_645078.1	NP_645078|hypothetical protein|NP_645078	virulence protein	hypothetical protein MW0262 [Staphylococcus aureus subsp. aureus MW2]		Jan 28 2010 03:05PM	virulence factor	Yes	Yes	1335	1065	1334	0.9992511839999976	999061	316539.17269097955	6973895.871168165	9694346	447150	2364194906	107308786	0.0041004851061124	0.000189134152546	0.0461248236858886	4093	166	422.2048604413336	9153.527898915352	316.2583224279652	6856.575205180039
ID07355	7543|vfid|8973|vsiid|10891|ssid|cell_surface_protein_[Staphylococcus_aureus_subsp._aureus_N315]	1053	7543	8973	10891	cell_surface_protein_[Staphylococcus_aureus_subsp._aureus_N315]	Staphylococcus_aureus_subsp._aureus_N315			"<a href  = ""http://www.tvfac.lanl.gov/"" target=""_blank"">TVFAC</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=15926714"" target=""_blank"">15926714</a>"	NP_374247.1	NP_374247|SAS1009	virulence protein	cell surface protein [Staphylococcus aureus subsp. aureus N315]		Nov 27 2007 10:38AM	virulence factor	Yes	Yes	1053	975	1052	0.999050654	782571	314349.0133982787	6925642.940200034	9694346	447150	2364194906	107308786	0.0041004851061124	0.000189134152546	0.0461248236858886	3215	113	331.63660550180487	7189.980990718998	314.944544636092	6828.0921089449175
ID00946	2693|vfid|3126|vsiid|3669|ssid|hypothetical_protein_MW2421_[Staphylococcus_aureus_subsp._aureus_MW2]	3048	2693	3126	3669	hypothetical_protein_MW2421_[Staphylococcus_aureus_subsp._aureus_MW2]	Staphylococcus_aureus_subsp._aureus_MW2			"<a href  = ""http://www.mgc.ac.cn/VFs/main.htm"" target=""_blank"">VFDB</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=21284150"" target=""_blank"">21284150</a>"	NP_647238.1	NP_647238|ORFID:MW2421~fibronectin-binding protein homolog|NP_647238	virulence protein	hypothetical protein MW2421 [Staphylococcus aureus subsp. aureus MW2]		Jan 28 2010 02:32PM	virulence factor	Yes	Yes	3048	2039	2190	0.7185040679999949	2257962	313341.8396352649	6903453.190704834	9694346	447150	2364194906	107308786	0.0041004851061124	0.000189134152546	0.0461248236858886	9640	837	994.3940519556452	21558.761042155875	326.2447677019833	7073.08433141597
ID03173	11343|vfid|50135|vsiid|70972|ssid|RecName:_Full=Urease_subunit_alpha;_EC=3.5.1.5;_AltName:_Full=Urea_amidohydrolase_subunit_alpha;_	1716	11343	50135	70972	RecName:_Full=Urease_subunit_alpha;_EC=3.5.1.5;_AltName:_Full=Urea_amidohydrolase_subunit_alpha;_		Urease_subunit_alpha		"<a href  = ""http://www.jenner.ac.uk/BacBix3/PPprints.htm"" target=""_blank"">PRINTS</a><BR><a href  = ""http://www.geneontology.org/"" target=""_blank"">GO</a><BR>"	"<a href=""http://www.uniprot.org/uniprot/P67405"" target=""_blank"">P67405</a>"	P67405	RecName: Full=Urease subunit alpha; EC=3.5.1.5; AltName: Full=Urea amidohydrolase subunit alpha; |Name=ureC; OrderedLocusNames=SAV2290;	virulence protein	RecName: Full=Urease subunit alpha; EC=3.5.1.5; AltName: Full=Urea amidohydrolase subunit alpha; 		Oct 2 2010 01:15PM	virulence factor	Yes	Yes	1716	1218	1705	0.9935893010000107	1202559	296418.85965638654	6530611.184455652	9694346	447150	2364194906	107308786	0.0041004851061124	0.000189134152546	0.0461248236858886	4956	93	511.2258217315537	11083.529017108352	297.9171455312084	6458.932993652887
ID10800	2705|vfid|3150|vsiid|3705|ssid|capsular_polysaccharide_synthesis_enzyme_Cap8C_[Staphylococcus_aureus_subsp._aureus_MW2]	765	2705	3150	3705	capsular_polysaccharide_synthesis_enzyme_Cap8C_[Staphylococcus_aureus_subsp._aureus_MW2]	Staphylococcus_aureus_subsp._aureus_MW2			"<a href  = ""http://www.mgc.ac.cn/VFs/main.htm"" target=""_blank"">VFDB</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=21281855"" target=""_blank"">21281855</a>"	NP_644941.1	NP_644941|capsular polysaccharide synthesis enzyme Cap8C|NP_644941	virulence protein	capsular polysaccharide synthesis enzyme Cap8C [Staphylococcus aureus subsp. aureus MW2]		Jan 28 2010 02:32PM	virulence factor	Yes	Yes	765	915	764	0.998693010000004	524248	289862.52424823295	6386163.974196613	9694346	447150	2364194906	107308786	0.0041004851061124	0.000189134152546	0.0461248236858886	2168	200	223.63550878006623	4848.484848484848	292.33399840531536	6337.888690829867
ID02282	7568|vfid|9023|vsiid|10941|ssid|hypothetical_protein_MW2471_[Staphylococcus_aureus_subsp._aureus_MW2]	1995	7568	9023	10941	hypothetical_protein_MW2471_[Staphylococcus_aureus_subsp._aureus_MW2]	Staphylococcus_aureus_subsp._aureus_MW2			"<a href  = ""http://www.tvfac.lanl.gov/"" target=""_blank"">TVFAC</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=21284200"" target=""_blank"">21284200</a>"	NP_647288.1	NP_647288|SASd2471	virulence protein	hypothetical protein MW2471 [Staphylococcus aureus subsp. aureus MW2]		Nov 27 2007 10:39AM	virulence factor	Yes	Yes	1995	1142	1927	0.965915613999998	1357214	287754.51960286003	6339721.049714969	9694346	447150	2364194906	107308786	0.0041004851061124	0.000189134152546	0.0461248236858886	5578	98	575.3869317228827	12474.561109247456	288.4145021167331	6252.912836715517
ID02957	7528|vfid|8943|vsiid|10861|ssid|hypothetical_protein_MW0091_[Staphylococcus_aureus_subsp._aureus_MW2]	1755	7528	8943	10861	hypothetical_protein_MW0091_[Staphylococcus_aureus_subsp._aureus_MW2]	Staphylococcus_aureus_subsp._aureus_MW2			"<a href  = ""http://www.tvfac.lanl.gov/"" target=""_blank"">TVFAC</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=21281820"" target=""_blank"">21281820</a>"	NP_644906.1	NP_644906|SASd0091	virulence protein	hypothetical protein MW0091 [Staphylococcus aureus subsp. aureus MW2]		Nov 27 2007 10:38AM	virulence factor	Yes	Yes	1755	1228	1724	0.9823361309999984	1179229	284208.9518170022	6261606.166389359	9694346	447150	2364194906	107308786	0.0041004851061124	0.000189134152546	0.0461248236858886	4811	7	496.2686497882374	10759.253047075925	282.7741594234971	6130.628516852379
ID01082	2689|vfid|47913|vsiid|68750|ssid|fibrinogen-binding_protein_[Staphylococcus_aureus_subsp._aureus_MW2]	2841	2689	47913	68750	fibrinogen-binding_protein_[Staphylococcus_aureus_subsp._aureus_MW2]	Staphylococcus_aureus_subsp._aureus_MW2			"<a href  = ""http://www.mgc.ac.cn/VFs/main.htm"" target=""_blank"">VFDB</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=21282493"" target=""_blank"">21282493</a>"	NP_645581.1	NP_645581|fibrinogen-binding protein|NP_645581	virulence protein	fibrinogen-binding protein [Staphylococcus aureus subsp. aureus MW2]		Jan 28 2010 02:32PM	virulence factor	Yes	Yes	2841	1297	2834	0.997535868000006	1904377	283529.60751361965	6246639.056972268	9694346	447150	2364194906	107308786	0.0041004851061124	0.000189134152546	0.0461248236858886	8108	607	836.3637939062625	18132.61768981326	294.3906349546858	6382.477187544267
ID00384	2701|vfid|3142|vsiid|3693|ssid|Ser-Asp_rich_fibrinogen-binding_bone_sialoprotein-binding_protein_[Staphylococcus_aureus_subsp._aureus_MW2]	4044	2701	3142	3693	Ser-Asp_rich_fibrinogen-binding_bone_sialoprotein-binding_protein_[Staphylococcus_aureus_subsp._aureus_MW2]	Staphylococcus_aureus_subsp._aureus_MW2			"<a href  = ""http://www.mgc.ac.cn/VFs/main.htm"" target=""_blank"">VFDB</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=21282246"" target=""_blank"">21282246</a>"	NP_645334.1	NP_645334|Ser-Asp rich fibrinogen-binding bone sialoprotein-binding protein|NP_645334	virulence protein	Ser-Asp rich fibrinogen-binding bone sialoprotein-binding protein [Staphylococcus aureus subsp. aureus MW2]		Jan 28 2010 02:32PM	virulence factor	Yes	Yes	4044	1166	3703	0.9156778399999964	2678983	280204.7760833872	6173387.370659608	9694346	447150	2364194906	107308786	0.0041004851061124	0.000189134152546	0.0461248236858886	11237	525	1159.1292491520314	25130.269484513028	286.62938900890987	6214.211049582846
ID05404	7529|vfid|8945|vsiid|10863|ssid|hypothetical_protein_MW0092_[Staphylococcus_aureus_subsp._aureus_MW2]	1257	7529	8945	10863	hypothetical_protein_MW0092_[Staphylococcus_aureus_subsp._aureus_MW2]	Staphylococcus_aureus_subsp._aureus_MW2			"<a href  = ""http://www.tvfac.lanl.gov/"" target=""_blank"">TVFAC</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=21281821"" target=""_blank"">21281821</a>"	NP_644907.1	NP_644907|SASd0092	virulence protein	hypothetical protein MW0092 [Staphylococcus aureus subsp. aureus MW2]		Nov 27 2007 10:38AM	virulence factor	Yes	Yes	1257	1188	1256	0.9992041550000016	831897	279931.0049132029	6167355.72655957	9694346	447150	2364194906	107308786	0.0041004851061124	0.000189134152546	0.0461248236858886	3515	138	362.5824784879764	7860.89679078609	288.45065909942434	6253.696730935632
ID02878	7514|vfid|8915|vsiid|10833|ssid|hypothetical_protein_SA0117_[Staphylococcus_aureus_subsp._aureus_N315]	1779	7514	8915	10833	hypothetical_protein_SA0117_[Staphylococcus_aureus_subsp._aureus_N315]	Staphylococcus_aureus_subsp._aureus_N315			"<a href  = ""http://www.tvfac.lanl.gov/"" target=""_blank"">TVFAC</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=15925825"" target=""_blank"">15925825</a>"	NP_373358.1	NP_373358|SAS0119	virulence protein	hypothetical protein SA0117 [Staphylococcus aureus subsp. aureus N315]		Nov 27 2007 10:37AM	virulence factor	Yes	Yes	1779	1303	1762	0.9904447999999836	1172172	278696.88698992104	6140166.011566183	9694346	447150	2364194906	107308786	0.0041004851061124	0.000189134152546	0.0461248236858886	4805	69	495.649732328514	10745.834731074585	278.61142907729845	6040.379275477562
ID05881	7533|vfid|8953|vsiid|10871|ssid|hypothetical_protein_MW0096_[Staphylococcus_aureus_subsp._aureus_MW2]	1203	7533	8953	10871	hypothetical_protein_MW0096_[Staphylococcus_aureus_subsp._aureus_MW2]	Staphylococcus_aureus_subsp._aureus_MW2			"<a href  = ""http://www.tvfac.lanl.gov/"" target=""_blank"">TVFAC</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=21281825"" target=""_blank"">21281825</a>"	NP_644911.1	NP_644911|SASd0096	virulence protein	hypothetical protein MW0096 [Staphylococcus aureus subsp. aureus MW2]		Nov 27 2007 10:38AM	virulence factor	Yes	Yes	1203	1187	1030	0.856193024999996	788780	277336.4714221265	6110193.7448458895	9694346	447150	2364194906	107308786	0.0041004851061124	0.000189134152546	0.0461248236858886	3245	92	334.73119280042204	7257.072570725707	278.2470430593699	6032.479277411228
ID15136	1554|vfid|1555|vsiid|1727|ssid|tRNA_14__tmRNA__of_Chromosome_1	420	1554	1555	1727	tRNA_14__tmRNA__of_Chromosome_1				"<a href  = ""http://kementari.bioinformatics.vt.edu/cgi-bin/islander.cgi"" target=""_blank"">ISLANDER</a><BR>"	"<a href=""http://kementari.bioinformatics.vt.edu:80/islands/Sauu14X.html"" target=""_blank"">Sauu14X</a>"	Sauu14X	Sauu14X	pathogenicity island	tRNA 14 (tmRNA) of Chromosome 1		Sep 27 2010 01:48AM	unknown	No	Yes	420	1097	419	0.9976180900000058	270802	272721.45161565905	6008517.016180452	9694346	447150	2364194906	107308786	0.0041004851061124	0.000189134152546	0.0461248236858886	1149	239	118.52269353703694	2569.6075142569607	282.1968893738975	6118.11312918324
ID11347	3090|vfid|32472|vsiid|53295|ssid|Response_regulator_of_the_LytR/AlgR_family	717	3090	32472	53295	Response_regulator_of_the_LytR/AlgR_family				"<a href  = ""http://www.geneontology.org/"" target=""_blank"">GO</a><BR><a href  = ""http://mvirdb.llnl.gov/literatureVirulenceHomeURL.html"" target=""_blank"">LITERATURE</a><BR>"	"<a href=""none"" target=""_blank"">SACOL2026</a>"	agrA 	SACOL2026 agrA |YP_041489	transcription factor	Response regulator of the LytR/AlgR family	transcriptional regulation of virulence genes, quorum sensing.	Jan 6 2010 05:09PM	virulence factor	Yes	Yes	717	951	716	0.9986052000000027	451213	266182.2984363893	5864448.359621583	9694346	447150	2364194906	107308786	0.0041004851061124	0.000189134152546	0.0461248236858886	1840	98	189.80135431518536	4114.950240411495	264.7159753349866	5739.12167421408
ID06167	7699|vfid|47922|vsiid|68759|ssid|cysteine_protease_precursor_[Staphylococcus_aureus_subsp._aureus_MW2]	1182	7699	47922	68759	cysteine_protease_precursor_[Staphylococcus_aureus_subsp._aureus_MW2]	Staphylococcus_aureus_subsp._aureus_MW2			"<a href  = ""http://www.mgc.ac.cn/VFs/main.htm"" target=""_blank"">VFDB</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=21282660"" target=""_blank"">21282660</a>"	NP_645748.1	NP_645748|cysteine protease precursor|NP_645748	virulence protein	cysteine protease precursor [Staphylococcus aureus subsp. aureus MW2]		Jan 28 2010 02:32PM	virulence factor	Yes	Yes	1182	1039	1181	0.9991543199999938	742002	265524.3302666743	5849952.202753771	9694346	447150	2364194906	107308786	0.0041004851061124	0.000189134152546	0.0461248236858886	3028	120	312.3470113404246	6771.7768086771775	264.2529706771782	5729.083594481538
ID12965	7691|vfid|9278|vsiid|11203|ssid|capsular_polysaccharide_synthesis_enzyme_Cap8M_[Staphylococcus_aureus_subsp._aureus_MW2]	558	7691	9278	11203	capsular_polysaccharide_synthesis_enzyme_Cap8M_[Staphylococcus_aureus_subsp._aureus_MW2]	Staphylococcus_aureus_subsp._aureus_MW2			"<a href  = ""http://www.mgc.ac.cn/VFs/main.htm"" target=""_blank"">VFDB</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=21281865"" target=""_blank"">21281865</a>"	NP_644951.1	NP_644951|capsular polysaccharide synthesis enzyme Cap8M|NP_644951	virulence protein	capsular polysaccharide synthesis enzyme Cap8M [Staphylococcus aureus subsp. aureus MW2]		Jan 28 2010 02:33PM	virulence factor	Yes	Yes	558	961	557	0.9982065400000022	349169	264678.2185636549	5831310.924133907	9694346	447150	2364194906	107308786	0.0041004851061124	0.000189134152546	0.0461248236858886	1450	141	149.57171943316237	3242.759700324276	268.0496764035168	5811.397312409097
ID06295	28603|vfid|67486|vsiid|88326|ssid|SubName:_Full=Staphopain;_EC=3.4.22.48;_Flags:_Precursor;_	1167	28603	67486	88326	SubName:_Full=Staphopain;_EC=3.4.22.48;_Flags:_Precursor;_			Staphopain	"<a href  = ""http://www.geneontology.org/"" target=""_blank"">GO</a><BR><a href  = ""http://mvirdb.llnl.gov/literatureVirulenceHomeURL.html"" target=""_blank"">LITERATURE</a><BR>"	"<a href=""http://www.uniprot.org/uniprot/A6U314"" target=""_blank"">A6U314</a>"	Staphopain A	SubName: Full=Staphopain; EC=3.4.22.48; Flags: Precursor; |OrderedLocusNames=SaurJH1_1998;	virulence protein	SubName: Full=Staphopain; EC=3.4.22.48; Flags: Precursor; 		Jan 14 2011 04:03PM	virulence factor	Yes	Yes	1167	952	1166	0.9991434279999964	710063	257361.00848419385	5670100.351907382	9694346	447150	2364194906	107308786	0.0041004851061124	0.000189134152546	0.0461248236858886	2895	71	298.6276743165552	6474.337470647433	255.89346556688537	5547.847018549644
ID13851	7707|vfid|9313|vsiid|11257|ssid|staphylokinase_precursor_[Staphylococcus_aureus_subsp._aureus_MW2]	492	7707	9313	11257	staphylokinase_precursor_[Staphylococcus_aureus_subsp._aureus_MW2]	Staphylococcus_aureus_subsp._aureus_MW2			"<a href  = ""http://www.mgc.ac.cn/VFs/main.htm"" target=""_blank"">VFDB</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=21283614"" target=""_blank"">21283614</a>"	NP_646702.1	NP_646702|Staphylokinase precursor|NP_646702	virulence protein	staphylokinase precursor [Staphylococcus aureus subsp. aureus MW2]		Jan 28 2010 02:33PM	virulence factor	Yes	Yes	492	992	491	0.9979673399999958	297098	255417.91078422865	5627290.6076603625	9694346	447150	2364194906	107308786	0.0041004851061124	0.000189134152546	0.0461248236858886	1245	109	128.42537289261185	2784.30057027843	261.0271806760403	5659.147500565915
ID08004	10179|vfid|49153|vsiid|69990|ssid|SubName:_Full=Leukotoxin,_LukD;_Flags:_Precursor;_	984	10179	49153	69990	SubName:_Full=Leukotoxin,_LukD;_Flags:_Precursor;_			Leukotoxin,_LukD	"<a href  = ""http://www.jenner.ac.uk/BacBix3/PPprints.htm"" target=""_blank"">PRINTS</a><BR><a href  = ""http://www.geneontology.org/"" target=""_blank"">GO</a><BR>"	"<a href=""http://www.uniprot.org/uniprot/O54082"" target=""_blank"">O54082</a>"	O54082	SubName: Full=Leukotoxin, LukD; Flags: Precursor; |Name=lukD;	protein toxin	SubName: Full=Leukotoxin, LukD; Flags: Precursor; 		Feb 4 2012 10:00AM	virulence factor	Yes	Yes	984	912	983	0.9989836199999952	590244	253719.1252262321	5589863.475061904	9694346	447150	2364194906	107308786	0.0041004851061124	0.000189134152546	0.0461248236858886	2476	86	255.406605045869	5537.29173655373	259.5595579734441	5627.329000562733
ID07618	7503|vfid|8893|vsiid|10811|ssid|hypothetical_protein_SA0691_[Staphylococcus_aureus_subsp._aureus_N315]	1029	7503	8893	10811	hypothetical_protein_SA0691_[Staphylococcus_aureus_subsp._aureus_N315]	Staphylococcus_aureus_subsp._aureus_N315			"<a href  = ""http://www.tvfac.lanl.gov/"" target=""_blank"">TVFAC</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=15926413"" target=""_blank"">15926413</a>"	NP_373946.1	NP_373946|SAS0707	virulence protein	hypothetical protein SA0691 [Staphylococcus aureus subsp. aureus N315]		Nov 27 2007 10:36AM	virulence factor	Yes	Yes	1029	836	1028	0.9990276870000008	615929	253181.5186789554	5578019.089267585	9694346	447150	2364194906	107308786	0.0041004851061124	0.000189134152546	0.0461248236858886	2529	109	260.873709273426	5655.820194565582	253.52158335609911	5496.423901424278
ID08145	7504|vfid|8895|vsiid|10813|ssid|ferrichrome_ABC_transporter_permease_[Staphylococcus_aureus_subsp._aureus_Mu50]	972	7504	8895	10813	ferrichrome_ABC_transporter_permease_[Staphylococcus_aureus_subsp._aureus_Mu50]	Staphylococcus_aureus_subsp._aureus_Mu50			"<a href  = ""http://www.tvfac.lanl.gov/"" target=""_blank"">TVFAC</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=15923723"" target=""_blank"">15923723</a>"	NP_371257.1	NP_371257|SASa0733	virulence protein	ferrichrome ABC transporter permease [Staphylococcus aureus subsp. aureus Mu50]		Nov 27 2007 10:37AM	virulence factor	Yes	Yes	972	794	971	0.9989721799999972	580526	252622.56071937227	5565704.295577583	9694346	447150	2364194906	107308786	0.0041004851061124	0.000189134152546	0.0461248236858886	2380	87	245.50392569029407	5322.59868053226	252.5760552369281	5475.924568448827
ID11688	7544|vfid|8975|vsiid|10893|ssid|hypothetical_protein_SA0978_[Staphylococcus_aureus_subsp._aureus_N315]	684	7544	8975	10893	hypothetical_protein_SA0978_[Staphylococcus_aureus_subsp._aureus_N315]	Staphylococcus_aureus_subsp._aureus_N315			"<a href  = ""http://www.tvfac.lanl.gov/"" target=""_blank"">TVFAC</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=15926715"" target=""_blank"">15926715</a>"	NP_374248.1	NP_374248|SAS1010	virulence protein	hypothetical protein SA0978 [Staphylococcus aureus subsp. aureus N315]		Nov 27 2007 10:38AM	virulence factor	Yes	Yes	684	892	683	0.998538480000006	408297	252485.7138815319	5562689.327195363	9694346	447150	2364194906	107308786	0.0041004851061124	0.000189134152546	0.0461248236858886	1677	104	172.98742999269885	3750.419322375042	252.90559940453048	5483.069184758833
ID10841	7502|vfid|8891|vsiid|10809|ssid|hypothetical_protein_SA0690_[Staphylococcus_aureus_subsp._aureus_N315]	762	7502	8891	10809	hypothetical_protein_SA0690_[Staphylococcus_aureus_subsp._aureus_N315]	Staphylococcus_aureus_subsp._aureus_N315			"<a href  = ""http://www.tvfac.lanl.gov/"" target=""_blank"">TVFAC</a><BR>"	"<a href=""http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?val=15926412"" target=""_blank"">15926412</a>"	NP_373945.1	NP_373945|SAS0706	virulence protein	hypothetical protein SA0690 [Staphylococcus aureus subsp. aureus N315]		Nov 27 2007 10:36AM	virulence factor	Yes	Yes	762	846	761	0.9986885500000028	452738	251309.38039309884	5536772.701495109	9694346	447150	2364194906	107308786	0.0041004851061124	0.000189134152546	0.0461248236858886	1856	128	191.45180087444783	4150.732416415073	251.2490825123988	5447.155402119519
